id,text,author,likes
2902,The pursuit of truth and beauty is a sphere of activity in which we are permitted to remain children all our lives.,Albert Einstein,2127 likes
2903,"Nobody tells this to people who are beginners, I wish someone told me. All of us who do creative work, we get into it because we have good taste. But there is this gap. For the first couple years you make stuff, it’s just not that good. It’s trying to be good, it has potential, but it’s not. But your taste, the thing that got you into the game, is still killer. And your taste is why your work disappoints you. A lot of people never get past this phase, they quit. Most people I know who do interesting, creative work went through years of this. We know our work doesn’t have this special thing that we want it to have. We all go through this. And if you are just starting out or you are still in this phase, you gotta know its normal and the most important thing you can do is do a lot of work. Put yourself on a deadline so that every week you will finish one story. It is only by going through a volume of work that you will close that gap, and your work will be as good as your ambitions. And I took longer to figure out how to do this than anyone I’ve ever met. It’s gonna take awhile. It’s normal to take awhile. You’ve just gotta fight your way through.",Ira Glass,2126 likes
2904,"If a man will begin with certainties, he shall end in doubts; but if he will be content to begin with doubts, he shall end in certainties.",Francis Bacon,2126 likes
2905,"Books fall open, you fall in.",David T.W. McCord,2125 likes
2906,"That didn’t happen, of course. Things never happened the way I imagined them.",John Green,2125 likes
2907,He who knows all the answers has not been asked all the questions.,Confucius,2125 likes
2908,The past beats inside me like a second heart.,John Banville,2124 likes
2909,"There were always in me, two women at least, one woman desperate and bewildered, who felt she was drowning and another who would leap into a scene, as upon a stage, conceal her true emotions because they were weaknesses, helplessness, despair, and present to the world only a smile, an eagerness, curiosity, enthusiasm, interest.",Anaïs Nin,2124 likes
2910,"Sometimes when I'm alone, I take the pearl from where it lives in my pocket and try to remember the boy with the bread, the strong arms that warded off nightmares on the train, the kisses in the arena.",Suzanne Collins,2123 likes
2911,I never tell anyone exactly how clever I am. They would be too scared.,Eoin Colfer,2123 likes
2912,I think it's good for a person to spend time alone. It gives them an opportunity to discover who they are and to figure out why they are always alone.,Amy Sedaris,2122 likes
2913,"No matter how plain a woman may be, if truth and honesty are written across her face, she will be beautiful.",Eleanor Roosevelt,2122 likes
2914,"The things we love destroy us every time, lad. Remember that.",George R.R. Martin,2121 likes
2915,There's something ugly about the flawless.,Dennis Lehane,2121 likes
2916,"How marvelous books are, crossing worlds and centuries, defeating ignorance and, finally, cruel time itself.",Gore Vidal,2121 likes
2917,The optimist proclaims that we live in the best of all possible worlds; and the pessimist fears this is true.,James Branch Cabell,2121 likes
2918,"I used to believe in forever, but forever's too good to be true",A.A. Milne,2120 likes
2919,"I'll try anything once, twice if I like it, three times to make sure.",Mae West,2119 likes
2920,"Half the world is composed of people who have something to say and can't, and the other half who have nothing to say and keep on saying it.",Robert Frost,2119 likes
2921,You have to kiss a lot of frogs before you find your prince,E.L. James,2118 likes
2922,"We are all different. Don’t judge, understand instead.",Roy T. Bennett,2117 likes
2923,"I'm not lost for I know where I am. But however, where I am may be lost.",A.A. Milne,2117 likes
2924,"Listen to them, the children of the night. What music they make!",Bram Stoker,2117 likes
2925,"My fault, my failure, is not in the passions I have, but in my lack of control of them.",Jack Kerouac,2117 likes
2926,Our imagination flies -- we are its shadow on the earth.,Vladimir Nabokov,2117 likes
2927,Love can make even nice people do awful things.,Jude Deveraux,2116 likes
2928,"This is me, Ana. All of me...and I'm all yours. What do I have to do to make you realize that? To make you see that I want you any way I can get you. That I love you.",E.L. James,2116 likes
2929,"I love you as certain dark things are loved, secretly, between the shadow and the soul.",Stephanie Perkins,2116 likes
2930,"None of us knows what might happen even the next minute, yet still we go forward. Because we trust. Because we have Faith.",Paulo Coelho,2116 likes
2931,It is better to offer no excuse than a bad one.,George Washington,2116 likes
2932,"It is difficult, when faced with a situation you cannot control, to admit you can do nothing.",Lemony Snicket,2115 likes
2933,"Stepping onto a brand-new path is difficult, but not more difficult than remaining in a situation, which is not nurturing to the whole woman.",Maya Angelou,2115 likes
2934,"If you try to fail, and succeed, which have you done?",George Carlin,2114 likes
2935,We are all born mad. Some remain so.,Samuel Beckett,2114 likes
2936,A question that sometimes drives me hazy: am I or are the others crazy?,Albert Einstein,2114 likes
2937,Push yourself. Don't Settle. Just live well. Just LIVE.,Jojo Moyes,2113 likes
2938,Threats are the last resort of a man with no vocabulary.,Tamora Pierce,2113 likes
2939,Everything in the world exists in order to end up as a book.,Stéphane Mallarmé,2113 likes
2940,The most beautiful makeup of a woman is passion. But cosmetics are easier to buy.,Yves Saint-Laurent,2113 likes
2941,"Time to leave now, get out of this room, go somewhere, anywhere; sharpen this feeling of happiness and freedom, stretch your limbs, fill your eyes, be awake, wider awake, vividly awake in every sense and every pore.",Stefan Zweig,2112 likes
2942,"We are not trapped or locked up in these bones. No, no. We are free to change. And love changes us. And if we can love one another, we can break open the sky.",Walter Mosley,2112 likes
2943,I have never met a man so ignorant that I couldn't learn something from him.,Galileo Galilei,2112 likes
2944,"This is what we call love. When you are loved, you can do anything in creation. When you are loved, there's no need at all to understand what's happening, because everything happens within you.",Paulo Coelho,2112 likes
2945,Romance is the glamour which turns the dust of everyday life into a golden haze. ,Elinor Glyn,2111 likes
2946,"Rachel: You're a half-blood, too?",Rick Riordan,2111 likes
2947,"I believe in being strong when everything seems to be going wrong. I believe that happy girls are the prettiest girls. I believe that tomorrow is another day, and I believe in miracles",Audrey Hepburn,2110 likes
2948,Real generosity towards the future lies in giving all to the present.,Albert Camus,2110 likes
2949,Silly things do cease to be silly if they are done by sensible people in an impudent way.,Jane Austen,2110 likes
2950,The farther you go...the harder it is to return. The world has many edges and it's easy to fall off.,Anderson Cooper,2109 likes
2951,"The only calibration that counts is how much heart people invest, how much they ignore their fears of being hurt or caught out or humiliated. And the only thing people regret is that they didn't live boldly enough, that they didn't invest enough heart, didn't love enough. Nothing else really counts at all.",Ted Hughes,2109 likes
